47,'Cold Turkey / Stories Of The Future','Drumsound & Bassline Smith','Technique Recordings','TECH040','Drumsound & Bassline Smith','Stories Of The Future','6A',172
6,'Harder / It Came From Mars','Drumsound & Bassline Smith','Technique Recordings','TECH043','Drumsound & Bassline Smith','It Came From Mars','10B',177
52,'Harder / It Came From Mars','Drumsound & Bassline Smith','Technique Recordings','TECH043','Drumsound & Bassline Smith','Harder','6A',177
2,'Let The Good Times Roll / Go','Drumsound & Bassline Smith','Bingo Recordings','BINGO067','Drumsound & Bassline Smith','Let The Good Times Roll','10A',176
12,'Let The Good Times Roll / Go','Drumsound & Bassline Smith','Bingo Recordings','BINGO067','Drumsound & Bassline Smith','Go','11B',179
11,'The Valley Of The Kings EP Vol.1 ::  See Info For Tracklistings ::','Drumsound & Bassline Smith','Technique Recordings','TECH027','Drumsound & Bassline Smith','Underworld','11A',174
33,'The Valley Of The Kings EP Vol.1 ::  See Info For Tracklistings ::','Drumsound & Bassline Smith','Technique Recordings','TECH027','Drumsound & Bassline Smith','Untitled','3B',174
40,'The Valley Of The Kings EP Vol.1 ::  See Info For Tracklistings ::','Drumsound & Bassline Smith','Technique Recordings','TECH027','Drumsound & Bassline Smith','Without You','5A',174
54,'The Valley Of The Kings EP Vol.1 ::  See Info For Tracklistings ::','Drumsound & Bassline Smith','Technique Recordings','TECH027','Drumsound & Bassline Smith','Newsflash','6A',174
36,'Signal / Big Love','Fresh BC','Ram Records','RAMM46','Fresh BC','Signal','4A',174
42,'Signal / Big Love','Fresh BC','Ram Records','RAMM46','Fresh BC','Big Love','5B',175
57,'Angels & Fly [Club Mix] / [LP Instrumental - Originally Thugged Out Bitch RMX]','High Contrast','Hospital Records','NHS80','High Contrast','Angels & Fly [Club Mix]','7A',172
70,'Angels & Fly [Club Mix] / [LP Instrumental - Originally Thugged Out Bitch RMX]','High Contrast','Hospital Records','NHS80','High Contrast','[LP Instrumental - Originally Thugged Out Bitch RMX]','8A',172
72,'Basement Track / [Dub] / [Accapella]','High Contrast','Hospital Records','NHS60','High Contrast','[Dub]','8A',173
73,'Basement Track / [Dub] / [Accapella]','High Contrast','Hospital Records','NHS60','High Contrast','Basement Track','8A',173
86,'Basement Track / [Dub] / [Accapella]','High Contrast','Hospital Records','NHS60','High Contrast','[Accapella]','9A',173
22,'Lights Go Down / Magic','High Contrast','Hospital Records','NHS90','High Contrast','Lights Go Down','1B',173
38,'Lights Go Down / Magic','High Contrast','Hospital Records','NHS90','High Contrast','Magic','5A',173
56,'Racing Green / St.Ives','High Contrast','Hospital Records','NHS76','High Contrast','St.Ives','6B',174
89,'Racing Green / St.Ives','High Contrast','Hospital Records','NHS76','High Contrast','Racing Green','9B',173
7,'If We Ever / Pink Flamingos','High Contrast Feat. Diane Charlmagne / High Contrast','Hospital Records','NHS123','High Contrast','Pink Flamingos','10B',173
59,'If We Ever / Pink Flamingos','High Contrast Feat. Diane Charlmagne / High Contrast','Hospital Records','NHS123','High Contrast Feat. Diane Charlmagne','If We Ever','7A',173
35,'Papua Nu Guinea [RMX]','High Contrast vs Future Sound Of London','White Label','DAONE001','High Contrast vs Future Sound Of London','Papua Nu Guinea [RMX]','4A',176
37,'Its Time / Panic Room','J Majik & Wickerman','Black Widow Recordings','SPIDER003','J Majik & Wickerman','Its Time','5A',175
55,'Its Time / Panic Room','J Majik & Wickerman','Black Widow Recordings','SPIDER003','J Majik & Wickerman','Panic Room','6B',175
19,'The Trip / Quite Perfect','Logistics / CLS & Wax','Hospital Records','NHS86','CLS & Wax','Quite Perfect','1A',175
26,'The Trip / Quite Perfect','Logistics / CLS & Wax','Hospital Records','NHS86','Logistics','The Trip','2A',174
